,0,1
521,19,10
1241,29,12
1595,27,12
4679,14,6
5384,27,9
1194,2,8
2967,8,11
14134,10,10
1983,4,10
15,15,12
3371,14,10
6027,28,12
17413,3,2
2930,14,11
3821,7,11
1439,6,6
12814,10,10
4784,6,6
4822,28,12
7976,21,12
20942,10,12
9369,12,9
12641,31,12
476,2,11
10181,6,12
9119,23,4
4662,23,4
17268,18,4
4595,20,11
556,1,9
3533,13,9
1991,20,9
8145,23,12
12856,28,12
1565,1,12
1563,13,3
7033,7,12
6843,18,9
8118,23,2
4742,15,3
2316,9,10
67,30,7
2299,12,1
3413,9,7
3904,5,8
303,1,11
426,15,11
292,6,9
12060,5,12
964,4,4
5217,10,2
2812,31,12
16169,18,12
3797,8,12
93,12,5
14618,1,12
14135,28,1
14998,21,11
8941,27,9
2264,31,10
4731,23,1
1974,14,2
3529,24,3
12437,14,12
2512,12,4
5402,25,1
8943,18,5
20918,12,10
8546,12,12
8942,20,10
8553,13,9
1182,8,9
2260,14,7
81,2,12
15932,17,3
5849,15,8
5563,5,1
3490,17,7
20550,17,12
9769,7,6
16622,3,11
9823,27,10
3374,9,8
6668,23,8
717,28,8
4975,2,12
1127,24,9
8379,18,10
17047,16,1
8074,6,12
8593,23,8
3606,16,9
5359,31,8
17434,20,5
2934,13,10
5565,16,11
1898,1,11
500,14,2
21170,6,12
8836,13,9
7200,15,9
7739,6,12
10208,1,12
10282,12,7
5711,8,5
29207,28,11
4836,31,12
8885,17,3
3588,31,5
5212,13,10
8757,21,9
8070,21,9
9698,28,12
8474,21,11
16290,22,11
3983,30,9
3131,3,10
7329,24,9
7520,14,11
8378,12,8
5993,12,8
1212,13,5
5039,28,2
4075,6,9
5057,25,10
15294,2,10
5095,20,9
15567,22,9
18641,27,8
14874,15,7
15571,16,10
1899,13,9
7522,25,7
9763,31,8
7052,13,5
5438,8,3
8412,14,8
5115,23,12
5065,28,8
9318,10,9
19402,8,12
8401,7,3
1925,3,6
7957,15,7
5069,26,12
1072,30,4
8830,15,1
9430,26,8
8833,26,8
12062,12,5
5401,29,12
13286,13,12
6851,16,6
5618,21,11
9753,25,10
1907,7,12
8405,22,11
12968,14,2
6264,28,12
5097,30,11
8114,27,9
10358,28,3
7043,30,12
8119,22,9
13462,22,9
882,11,9
12857,22,1
16513,26,9
1387,18,11
22535,2,8
4279,12,12
13673,23,1
1408,26,7
3596,27,11
13654,24,1
5054,9,9
15110,19,9
9215,12,8
4701,3,7
8397,26,6
8625,22,10
13024,8,11
8249,27,9
12397,16,12
17099,12,7
16832,22,5
9291,2,2
15638,20,11
8073,17,9
4743,15,11
15327,6,10
14204,1,10
8754,29,7
7907,6,9
7901,11,12
17206,25,7
3872,19,7
9751,27,7
4446,7,2
4646,16,11
8594,27,5
8612,20,11
2932,26,10
6331,19,9
13761,27,12
13653,30,7
33327,31,8
13742,7,6
1908,22,9
8605,16,12
17764,23,6
14208,19,9
10222,11,9
17459,27,3
8770,14,10
14085,10,8
3607,22,11
3494,29,9
3414,20,8
23970,2,10
13108,14,7
14374,11,9
20954,17,11
3842,22,12
5584,1,9
1015,23,8
5070,7,5
4578,5,5
680,19,4
3196,26,8
6351,30,11
991,27,10
682,16,9
4901,14,8
6095,18,9
2151,17,8
1080,25,1
494,18,9
1087,23,9
712,23,8
5386,23,4
9942,29,5
6727,3,10
1304,6,10
1021,9,10
2078,29,3
5553,12,12
1176,15,11
7577,22,2
8959,3,7
1228,4,5
70,27,9
1084,24,4
1088,15,10
5249,9,8
2241,13,3
5571,27,11
2259,26,6
3532,19,10
5754,9,10
960,1,10
1207,29,11
519,27,11
8744,29,5
6265,10,10
1811,2,12
515,28,4
2972,28,3
509,30,1
89,23,4
103,29,1
9563,7,3
524,6,7
